Application_Name,Total_Volume_Mn,Total_Value_Cr
Standard Chartered Bank Apps,0.16,94.22
State Bank of India Apps,4.09,1910.15
Tamilnad Mercantile Bank Apps,0.06,13.15
TataNeu,0.15,16.46
UCO Bank Apps,0.34,111.87
Ultracash,0.03,2.1
Union Bank Apps,0.74,301.17
Utkarsh Small Finance Bank Apps,0.02,6.43
WhatsApp,14.83,1319.01
Yes Bank Apps,35.33,12454.98
Others,0.03,8.54
Airtel Payments Bank Apps,9.31,2941.88
Allahabad Bank App,0.01,4.44
Amazon Pay,60.67,5297.16
AU Small Finance Bank App,0.1,38.53
Axis Bank Apps,87.49,959.73
Bajaj Finserv,0.04,2.85
Bank of Baroda Apps,0.75,302.06
Bank of India App,0.03,10.31
Bank of Maharashtra App,0.04,7.76
BHIM,26.33,8063.93
Canara Bank App,0.14,56.23
Central Bank of India App,0.13,47.83
Citi Bank App,0.09,72.04
City Union Bank App,0.01,2.73
Cointab,0.28,63.77
Cred,7.5,9040.43
DBS Digibank App,0.57,187.52
Dena Bank App,0.02,23.12
Deutsche Bank App,0.73,81.74
Federal Bank App,0.35,74.71
Fino Payments bank App,0.02,1.38
Google Pay,1243.75,244453.05
HDFC Bank Apps,3.1,676.72
HSBC Bank App,0.07,39.24
ICICI Bank Apps,19.81,5621.27
IDBI Bank App,0.03,11.26
IDFC Bank App,0.4,155.19
India Post Payments Bank App,2,255.16
Indian Bank App,0.08,34.46
IndusInd Bank App,0.52,570.21
Janta Sahakari Bank App,0.01,4.8
Jio Payments Bank App,1.06,68.16
Jupiter Money,0.07,17.36
Karnataka Bank App,0.12,15.38
Karur Vysya Bank App,0.03,15.25
Kotak Mahindra Bank Apps,3.98,723.21
MakeMy Trip,0.08,25.28
MI Pay,0.34,50.26
Mobikwik,2.59,418.04
NSDL Payments Bank App,0.01,0.85
Paytm Payments Bank App,498.65,56319.62
PhonePe,1622.95,301644.8
Punjab National Bank App,0.04,15.28
Punjab Sindh Bank App,0.01,2.53
RBL Bank App,0.16,70.24
RealMe,0.01,0.41
Samsung Pay,2.25,372.08
South Indian Bank App,0.09,31.69
Standard Chartered Bank App,0.08,45.31
State Bank of India Apps,3.69,1905.52
UCO Bank App,0.09,21.64
Ultracash,1.66,161.92
Union Bank Apps,0.37,150.94
WhatsApp,0.5,44.7
Yes Bank Apps,24.35,5702.87
YuvaPay,0.02,19.01
Other Apps,0.02,10.41
Airtel Payments Bank Apps,7.96,608.5
Allahabad Bank Apps,0.03,7.7
Amazon Pay,62.43,6353.15
AU Small Finance Bank Apps,0.45,138.7
Axis Bank Apps,58.11,1357.89
